モデルの接頭辞,feature_type,tag1,tag2,tag3,tag4,説明：属性名,データ型,同モデル内の日本語名 重複チェック,,feature_type+tag1+tag2+tag3+tag4,重複チェック,同モデル内の重複チェック,,属性名（1）_抽出,属性名（2）_抽出,属性名（3）_抽出,属性名（4）_抽出
bldg,bldg:Building,,,,,建築物,,,,bldg:Building,,,,,,,
bldg,bldg:Building,gml:description,,,,概要,,,,bldg:Buildinggml:description,,,,gml:description,,,
bldg,bldg:Building,gml:name,,,,名称,,,,bldg:Buildinggml:name,,,,gml:name,,,
bldg,bldg:Building,(gml:boundedBy),,,,範囲,,,,bldg:Building(gml:boundedBy),,,,(gml:boundedBy),,,
bldg,bldg:Building,core:creationDate,,,,データ作成日,xs:date,,,bldg:Buildingcore:creationDate,,,,core:creationDate,,,
bldg,bldg:Building,core:terminationDate,,,,データ削除日,xs:date,,,bldg:Buildingcore:terminationDate,,,,core:terminationDate,,,
bldg,bldg:Building,(core:relativeToTerrain),,,,地表との関係,,,,bldg:Building(core:relativeToTerrain),,,,(core:relativeToTerrain),,,
bldg,bldg:Building,(core:relativeToWater),,,,水面との関係,,,,bldg:Building(core:relativeToWater),,,,(core:relativeToWater),,,
bldg,bldg:Building,(gen:stringAttribute),,,,汎用属性（文字列）,,,,bldg:Building(gen:stringAttribute),,,,(gen:stringAttribute),,,
bldg,bldg:Building,(gen:intAttribute),,,,汎用属性（整数）,,,,bldg:Building(gen:intAttribute),,,,(gen:intAttribute),,,
bldg,bldg:Building,(gen:doubleAttribute),,,,汎用属性（実数）,,,,bldg:Building(gen:doubleAttribute),,,,(gen:doubleAttribute),,,
bldg,bldg:Building,(gen:dateAttribute),,,,汎用属性（日付）,,,,bldg:Building(gen:dateAttribute),,,,(gen:dateAttribute),,,
bldg,bldg:Building,(gen:uriAttribute),,,,汎用属性（URI）,,,,bldg:Building(gen:uriAttribute),,,,(gen:uriAttribute),,,
bldg,bldg:Building,(gen:measureAttribute),,,,汎用属性（単位付き計測値）,,,,bldg:Building(gen:measureAttribute),,,,(gen:measureAttribute),,,
bldg,bldg:Building,(gen:genericAttributeSet),,,,汎用属性セット,,,,bldg:Building(gen:genericAttributeSet),,,,(gen:genericAttributeSet),,,
bldg,bldg:Building,bldg:class,,,,区分,,,,bldg:Buildingbldg:class,,,,bldg:class,,,
bldg,bldg:Building,(bldg:function),,,,機能,,,,bldg:Building(bldg:function),,,,(bldg:function),,,
bldg,bldg:Building,bldg:usage,,,,用途,,,,bldg:Buildingbldg:usage,,,,bldg:usage,,,
bldg,bldg:Building,bldg:yearOfConstruction,,,,建築年,xs:gYear,,,bldg:Buildingbldg:yearOfConstruction,,,,bldg:yearOfConstruction,,,
bldg,bldg:Building,bldg:yearOfDemolition,,,,解体年,xs:gYear,,,bldg:Buildingbldg:yearOfDemolition,,,,bldg:yearOfDemolition,,,
bldg,bldg:Building,bldg:roofType,,,,屋根の種別,,,,bldg:Buildingbldg:roofType,,,,bldg:roofType,,,
bldg,bldg:Building,bldg:measuredHeight,,,,計測高さ,,,,bldg:Buildingbldg:measuredHeight,,,,bldg:measuredHeight,,,
bldg,bldg:Building,bldg:storeysAboveGround,,,,地上階数,,,,bldg:Buildingbldg:storeysAboveGround,,,,bldg:storeysAboveGround,,,
bldg,bldg:Building,bldg:storeysBelowGround,,,,地下階数,,,,bldg:Buildingbldg:storeysBelowGround,,,,bldg:storeysBelowGround,,,
bldg,bldg:Building,(bldg:storeyHeightsAboveGround),,,,地上階高さリスト,,,,bldg:Building(bldg:storeyHeightsAboveGround),,,,(bldg:storeyHeightsAboveGround),,,
