prefix,feature_type,level1,level2,level3,level4,description
custom,custom,gml:id,,,,ID
custom,custom,gml_id,,,,ID
custom,custom,gml_name,,,,名前
custom,custom,name,,,,名前
custom,custom,type,,,,タイプ
custom,custom,value,,,,値
custom,custom,feature_type,,,,地物タイプ
custom,custom,meshcode,,,,メッシュコード
custom,custom,city,,,,市区町村
custom,custom,city_code,,,,市区町村コード
custom,custom,city_name,,,,市区町村名
custom,custom,lod1HeightType,,,,LOD1の立ち上げに使用する建築物の高さ
custom,custom,buildingID,,,,建物ID
custom,custom,prefecture,,,,都道府県
custom,custom,prefecture_code,,,,都道府県コード
custom,custom,prefecture_name,,,,都道府県名
custom,custom,uro:WaterBodyRiverFloodingRiskAttribute,,,,損傷状況
custom,custom,uro:rank_code,,,,浸水ランクコード
custom,custom,uro:rankOrg_code,,,,浸水ランク（独自）コード
custom,custom,uro:adminType_code,,,,指定機関コード
custom,custom,uro:description_code,,,,設定等名称コード
custom,custom,uro:scale_code,,,,規模コード
custom,custom,uro:depthuom,,,,浸水深単位
custom,custom,uro:durationuom,,,,継続時間単位
custom,custom,ancestors,,,,原型
custom,custom,urf:class,,,,分類
custom,custom,urf:function,,,,区域の種類
custom,custom,urf:usage,,,,用途
custom,custom,urf:validFrom,,,,効力を生じる日
custom,custom,urf:validFromType,,,,効力を生じる日の区分
custom,custom,urf:enactmentFiscalYear,,,,決定年度
custom,custom,urf:validTo,,,,効力を失う日
custom,custom,urf:validToType,,,,効力を失う日の区分
custom,custom,urf:expirationFiscalYear,,,,廃止年度
custom,custom,urf:legalGrounds,,,,法的背景
custom,custom,urf:custodian,,,,決定者
custom,custom,urf:notificationNumber,,,,告示番号（当初）
custom,custom,urf:finalNotificationNumber,,,,告示番号（最終）
custom,custom,urf:finalNotificationDate,,,,告示日（最終）
custom,custom,urf:urbanPlanType,,,,都市計画区域
custom,custom,urf:areaClassificationType,,,,区域区分
custom,custom,urf:nominalArea,,,,総面積
custom,custom,urf:prefecture,,,,都道府県名
custom,custom,urf:city,,,,市区町村名
